REG,PROV,CODAT,DESC,CESSUFFSC,CESSUFFSP,CESSUFFDI,CESSUFFAF,CESSUFFTOT,Anno
PIE,  ,A   ,"Agricoltura, silvicoltura pesca                             ",2,8,102,1,113,2021
PIE,  ,A 01,"Coltivazioni agricole e produzione di prodotti animali, c...",2,6,100,1,109,2021
PIE,  ,A 02,Silvicoltura ed utilizzo di aree forestali                  ,0,2,2,0,4,2021
PIE,  ,A 03,Pesca e acquacoltura                                        ,0,0,0,0,0,2021
PIE,  ,B   ,Estrazione di minerali da cave e miniere                    ,1,0,0,0,1,2021
PIE,  ,B 05,Estrazione di carbone (esclusa torba)                       ,0,0,0,0,0,2021
PIE,  ,B 06,Estraz.di petrolio greggio e di gas naturale                ,0,0,0,0,0,2021
PIE,  ,B 07,Estrazione di minerali metalliferi                          ,0,0,0,0,0,2021
PIE,  ,B 08,Altre attività di estrazione di minerali da cave e miniere  ,1,0,0,0,1,2021
PIE,  ,B 09,Attività dei servizi di supporto all'estrazione             ,0,0,0,0,0,2021
PIE,  ,C   ,Attività manifatturiere                                     ,88,147,136,2,373,2021
PIE,  ,C 10,Industrie alimentari                                        ,3,3,9,0,15,2021
PIE,  ,C 11,Industria delle bevande                                     ,0,0,1,0,1,2021
PIE,  ,C 12,Industria del tabacco                                       ,0,0,0,0,0,2021
PIE,  ,C 13,Industrie tessili                                           ,12,25,4,0,41,2021
PIE,  ,C 14,Confezione di articoli di abbigliamento; confezione di ar...,4,11,8,0,23,2021
PIE,  ,C 15,Fabbricazione di articoli in pelle e simili                 ,1,4,0,0,5,2021
PIE,  ,C 16,Industria del legno e dei prodotti in legno e sughero (es...,2,6,11,0,19,2021
PIE,  ,C 17,Fabbricazione di carta e di prodotti di carta               ,2,2,0,0,4,2021
PIE,  ,C 18,Stampa e riproduzione di supporti registrati                ,6,6,2,0,14,2021
PIE,  ,C 19,Fabbricazione di coke e prodotti derivanti dalla raffinaz...,0,1,0,0,1,2021
PIE,  ,C 20,Fabbricazione di prodotti chimici                           ,1,3,1,0,5,2021
PIE,  ,C 21,Fabbricazione di prodotti farmaceutici di base e di prepa...,0,0,0,0,0,2021
PIE,  ,C 22,Fabbricazione di articoli in gomma e materie plastiche      ,7,2,4,0,13,2021
PIE,  ,C 23,Fabbricazione di altri prodotti della lavorazione di miner..,3,3,7,0,13,2021
PIE,  ,C 24,Metallurgia                                                 ,2,0,0,0,2,2021
PIE,  ,C 25,Fabbricazione di prodotti in metallo (esclusi macchinari ...,17,42,48,0,107,2021
PIE,  ,C 26,Fabbricazione di computer e prodotti di elettronica e ott...,1,9,3,0,13,2021
PIE,  ,C 27,Fabbricazione di apparecchiature elettriche ed apparecchi...,3,7,0,0,10,2021
PIE,  ,C 28,Fabbricazione di macchinari ed apparecchiature nca          ,11,9,10,0,30,2021
PIE,  ,C 29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi       ",2,8,1,1,12,2021
PIE,  ,C 30,Fabbricazione di altri mezzi di trasporto                   ,0,0,3,0,3,2021
PIE,  ,C 31,Fabbricazione di mobili                                     ,2,1,6,0,9,2021
PIE,  ,C 32,Altre industrie manifatturiere                              ,3,3,4,0,10,2021
PIE,  ,C 33,"Riparazione, manutenzione ed installazione di macchine ed...",6,2,14,1,23,2021
PIE,  ,D   ,"Fornitura di energia elettrica, gas, vapore e aria condiz...",1,0,0,0,1,2021
PIE,  ,D 35,"Fornitura di energia elettrica, gas, vapore e aria condiz...",1,0,0,0,1,2021
PIE,  ,E   ,"Fornitura di acqua; reti fognarie, attività di gestione d...",1,1,0,0,2,2021
PIE,  ,E 36,"Raccolta, trattamento e fornitura di acqua                  ",0,0,0,0,0,2021
PIE,  ,E 37,Gestione delle reti fognarie                                ,0,0,0,0,0,2021
PIE,  ,E 38,"Attività di raccolta, trattamento e smaltimento dei rifiu...",1,1,0,0,2,2021
PIE,  ,E 39,Attività di risanamento e altri servizi di gestione dei r...,0,0,0,0,0,2021
PIE,  ,F   ,Costruzioni                                                 ,68,45,448,10,571,2021
PIE,  ,F 41,Costruzione di edifici                                      ,42,29,94,3,168,2021
PIE,  ,F 42,Ingegneria civile                                           ,1,2,3,0,6,2021
PIE,  ,F 43,Lavori di costruzione specializzati                         ,25,14,351,7,397,2021
PIE,  ,G   ,Commercio all'ingrosso e al dettaglio; riparazione di aut...,75,206,411,3,695,2021
PIE,  ,G 45,Commercio all'ingrosso e al dettaglio e riparazione di au...,6,18,27,0,51,2021
PIE,  ,G 46,Commercio all'ingrosso (escluso quello di autoveicoli e d...,35,94,99,0,228,2021
PIE,  ,G 47,Commercio al dettaglio (escluso quello di autoveicoli e d...,34,94,285,3,416,2021
PIE,  ,H   ,Trasporto e magazzinaggio                                   ,4,14,24,14,56,2021
PIE,  ,H 49,Trasporto terrestre e mediante condotte                     ,4,11,17,3,35,2021
