REG,PROV,CODAT,DESC,CESSUFFSC,CESSUFFSP,CESSUFFDI,CESSUFFAF,CESSUFFTOT,Anno
PIE,TO,N 82,Attività di supporto per le funzioni d'ufficio e altri se...,11,5,10,3,29,2023
PIE,TO,O   ,Amministrazione pubblica e difesa; assicurazione sociale ...,0,0,0,0,0,2023
PIE,TO,O 84,Amministrazione pubblica e difesa; assicurazione sociale ...,0,0,0,0,0,2023
PIE,TO,P   ,Istruzione                                                  ,3,2,1,1,7,2023
PIE,TO,P 85,Istruzione                                                  ,3,2,1,1,7,2023
PIE,TO,Q   ,Sanita' e assistenza sociale                                ,3,0,3,3,9,2023
PIE,TO,Q 86,Assistenza sanitaria                                        ,2,0,0,1,3,2023
PIE,TO,Q 87,Servizi di assistenza sociale residenziale                  ,1,0,0,0,1,2023
PIE,TO,Q 88,Assistenza sociale non residenziale                         ,0,0,3,2,5,2023
PIE,TO,R   ,"Attività artistiche, sportive, di intrattenimento e diver...",14,5,5,2,26,2023
PIE,TO,R 90,"Attività creative, artistiche e di intrattenimento          ",1,1,1,1,4,2023
PIE,TO,R 91,"Attività di biblioteche, archivi, musei ed altre attività...",0,0,0,0,0,2023
PIE,TO,R 92,"Attività riguardanti le lotterie, le scommesse, le case d...",1,0,0,0,1,2023
PIE,TO,R 93,"Attività sportive, di intrattenimento e di divertimento     ",12,4,4,1,21,2023
PIE,TO,S   ,Altre attività di servizi                                   ,5,3,8,1,17,2023
PIE,TO,S 94,Attività di organizzazioni associative                      ,0,0,0,1,1,2023
PIE,TO,S 95,Riparazione di computer e di beni per uso personale e per...,0,1,2,0,3,2023
PIE,TO,S 96,Altre attività di servizi per la persona                    ,5,2,6,0,13,2023
PIE,TO,T   ,Attività di famiglie e convivenze come datori di lavoro p...,0,0,0,0,0,2023
PIE,TO,T 97,Attività di famiglie e convivenze come datori di lavoro p...,0,0,0,0,0,2023
PIE,TO,T 98,Produzione di beni e servizi indifferenziati per uso prop...,0,0,0,0,0,2023
PIE,TO,U   ,Organizzazioni ed organismi extraterritoriali               ,0,0,0,0,0,2023
PIE,TO,U 99,Organizzazioni ed organismi extraterritoriali               ,0,0,0,0,0,2023
PIE,TO,XX  ,Imprese non classificate                                    ,92,13,1,3,109,2023
PIE,TO,TOT ,TOTALE                                                      ,553,338,455,177,1523,2023
PIE,VC,A   ,"Agricoltura, silvicoltura pesca                             ",0,2,0,1,3,2023
PIE,VC,A 01,"Coltivazioni agricole e produzione di prodotti animali, c...",0,2,0,1,3,2023
PIE,VC,A 02,Silvicoltura ed utilizzo di aree forestali                  ,0,0,0,0,0,2023
PIE,VC,A 03,Pesca e acquacoltura                                        ,0,0,0,0,0,2023
PIE,VC,B   ,Estrazione di minerali da cave e miniere                    ,0,0,0,0,0,2023
PIE,VC,B 05,Estrazione di carbone (esclusa torba)                       ,0,0,0,0,0,2023
PIE,VC,B 06,Estraz.di petrolio greggio e di gas naturale                ,0,0,0,0,0,2023
PIE,VC,B 07,Estrazione di minerali metalliferi                          ,0,0,0,0,0,2023
PIE,VC,B 08,Altre attività di estrazione di minerali da cave e miniere  ,0,0,0,0,0,2023
PIE,VC,B 09,Attività dei servizi di supporto all'estrazione             ,0,0,0,0,0,2023
PIE,VC,C   ,Attività manifatturiere                                     ,0,15,0,1,16,2023
PIE,VC,C 10,Industrie alimentari                                        ,0,0,0,0,0,2023
PIE,VC,C 11,Industria delle bevande                                     ,0,0,0,0,0,2023
PIE,VC,C 12,Industria del tabacco                                       ,0,0,0,0,0,2023
PIE,VC,C 13,Industrie tessili                                           ,0,2,0,0,2,2023
PIE,VC,C 14,Confezione di articoli di abbigliamento; confezione di ar...,0,0,0,0,0,2023
PIE,VC,C 15,Fabbricazione di articoli in pelle e simili                 ,0,0,0,0,0,2023
PIE,VC,C 16,Industria del legno e dei prodotti in legno e sughero (es...,0,1,0,0,1,2023
PIE,VC,C 17,Fabbricazione di carta e di prodotti di carta               ,0,0,0,0,0,2023
PIE,VC,C 18,Stampa e riproduzione di supporti registrati                ,0,1,0,0,1,2023
PIE,VC,C 19,Fabbricazione di coke e prodotti derivanti dalla raffinaz...,0,0,0,0,0,2023
PIE,VC,C 20,Fabbricazione di prodotti chimici                           ,0,0,0,0,0,2023
PIE,VC,C 21,Fabbricazione di prodotti farmaceutici di base e di prepa...,0,0,0,0,0,2023
PIE,VC,C 22,Fabbricazione di articoli in gomma e materie plastiche      ,0,1,0,0,1,2023
PIE,VC,C 23,Fabbricazione di altri prodotti della lavorazione di miner..,0,0,0,0,0,2023
PIE,VC,C 24,Metallurgia                                                 ,0,0,0,0,0,2023
PIE,VC,C 25,Fabbricazione di prodotti in metallo (esclusi macchinari ...,0,3,0,0,3,2023
PIE,VC,C 26,Fabbricazione di computer e prodotti di elettronica e ott...,0,0,0,0,0,2023
PIE,VC,C 27,Fabbricazione di apparecchiature elettriche ed apparecchi...,0,0,0,0,0,2023
PIE,VC,C 28,Fabbricazione di macchinari ed apparecchiature nca          ,0,4,0,0,4,2023
PIE,VC,C 29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi       ",0,0,0,0,0,2023
PIE,VC,C 30,Fabbricazione di altri mezzi di trasporto                   ,0,0,0,0,0,2023
PIE,VC,C 31,Fabbricazione di mobili                                     ,0,0,0,0,0,2023
PIE,VC,C 32,Altre industrie manifatturiere                              ,0,3,0,1,4,2023
PIE,VC,C 33,"Riparazione, manutenzione ed installazione di macchine ed...",0,0,0,0,0,2023
PIE,VC,D   ,"Fornitura di energia elettrica, gas, vapore e aria condiz...",0,0,0,0,0,2023
PIE,VC,D 35,"Fornitura di energia elettrica, gas, vapore e aria condiz...",0,0,0,0,0,2023
PIE,VC,E   ,"Fornitura di acqua; reti fognarie, attività di gestione d...",0,0,0,0,0,2023
PIE,VC,E 36,"Raccolta, trattamento e fornitura di acqua                  ",0,0,0,0,0,2023
PIE,VC,E 37,Gestione delle reti fognarie                                ,0,0,0,0,0,2023
PIE,VC,E 38,"Attività di raccolta, trattamento e smaltimento dei rifiu...",0,0,0,0,0,2023
PIE,VC,E 39,Attività di risanamento e altri servizi di gestione dei r...,0,0,0,0,0,2023
PIE,VC,F   ,Costruzioni                                                 ,0,13,0,7,20,2023
PIE,VC,F 41,Costruzione di edifici                                      ,0,5,0,5,10,2023
PIE,VC,F 42,Ingegneria civile                                           ,0,0,0,0,0,2023
