REG,PROV,CODAT,DESC,CESSUFFSC,CESSUFFSP,CESSUFFDI,CESSUFFAF,CESSUFFTOT,Anno
PIE,  ,A   ,"Agricoltura, silvicoltura pesca                             ",1,8,261,3,273,2022
PIE,  ,A 01,"Coltivazioni agricole e produzione di prodotti animali, c...",1,7,255,3,266,2022
PIE,  ,A 02,Silvicoltura ed utilizzo di aree forestali                  ,0,1,6,0,7,2022
PIE,  ,A 03,Pesca e acquacoltura                                        ,0,0,0,0,0,2022
PIE,  ,B   ,Estrazione di minerali da cave e miniere                    ,0,0,1,0,1,2022
PIE,  ,B 05,Estrazione di carbone (esclusa torba)                       ,0,0,0,0,0,2022
PIE,  ,B 06,Estraz.di petrolio greggio e di gas naturale                ,0,0,0,0,0,2022
PIE,  ,B 07,Estrazione di minerali metalliferi                          ,0,0,0,0,0,2022
PIE,  ,B 08,Altre attività di estrazione di minerali da cave e miniere  ,0,0,1,0,1,2022
PIE,  ,B 09,Attività dei servizi di supporto all'estrazione             ,0,0,0,0,0,2022
PIE,  ,C   ,Attività manifatturiere                                     ,71,124,174,0,369,2022
PIE,  ,C 10,Industrie alimentari                                        ,2,6,18,0,26,2022
PIE,  ,C 11,Industria delle bevande                                     ,0,1,0,0,1,2022
PIE,  ,C 12,Industria del tabacco                                       ,0,0,0,0,0,2022
PIE,  ,C 13,Industrie tessili                                           ,2,3,11,0,16,2022
PIE,  ,C 14,Confezione di articoli di abbigliamento; confezione di ar...,4,10,18,0,32,2022
PIE,  ,C 15,Fabbricazione di articoli in pelle e simili                 ,0,1,1,0,2,2022
PIE,  ,C 16,Industria del legno e dei prodotti in legno e sughero (es...,0,12,15,0,27,2022
PIE,  ,C 17,Fabbricazione di carta e di prodotti di carta               ,0,0,1,0,1,2022
PIE,  ,C 18,Stampa e riproduzione di supporti registrati                ,4,8,0,0,12,2022
PIE,  ,C 19,Fabbricazione di coke e prodotti derivanti dalla raffinaz...,0,0,0,0,0,2022
PIE,  ,C 20,Fabbricazione di prodotti chimici                           ,1,2,1,0,4,2022
PIE,  ,C 21,Fabbricazione di prodotti farmaceutici di base e di prepa...,0,0,0,0,0,2022
PIE,  ,C 22,Fabbricazione di articoli in gomma e materie plastiche      ,6,1,4,0,11,2022
PIE,  ,C 23,Fabbricazione di altri prodotti della lavorazione di miner..,1,3,7,0,11,2022
PIE,  ,C 24,Metallurgia                                                 ,1,0,0,0,1,2022
PIE,  ,C 25,Fabbricazione di prodotti in metallo (esclusi macchinari ...,28,31,54,0,113,2022
PIE,  ,C 26,Fabbricazione di computer e prodotti di elettronica e ott...,4,4,5,0,13,2022
PIE,  ,C 27,Fabbricazione di apparecchiature elettriche ed apparecchi...,2,3,1,0,6,2022
PIE,  ,C 28,Fabbricazione di macchinari ed apparecchiature nca          ,6,8,7,0,21,2022
PIE,  ,C 29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi       ",4,8,4,0,16,2022
PIE,  ,C 30,Fabbricazione di altri mezzi di trasporto                   ,1,1,0,0,2,2022
PIE,  ,C 31,Fabbricazione di mobili                                     ,1,7,0,0,8,2022
PIE,  ,C 32,Altre industrie manifatturiere                              ,3,11,11,0,25,2022
PIE,  ,C 33,"Riparazione, manutenzione ed installazione di macchine ed...",1,4,16,0,21,2022
PIE,  ,D   ,"Fornitura di energia elettrica, gas, vapore e aria condiz...",0,0,1,0,1,2022
PIE,  ,D 35,"Fornitura di energia elettrica, gas, vapore e aria condiz...",0,0,1,0,1,2022
PIE,  ,E   ,"Fornitura di acqua; reti fognarie, attività di gestione d...",1,1,0,0,2,2022
PIE,  ,E 36,"Raccolta, trattamento e fornitura di acqua                  ",0,0,0,0,0,2022
PIE,  ,E 37,Gestione delle reti fognarie                                ,0,0,0,0,0,2022
PIE,  ,E 38,"Attività di raccolta, trattamento e smaltimento dei rifiu...",1,1,0,0,2,2022
PIE,  ,E 39,Attività di risanamento e altri servizi di gestione dei r...,0,0,0,0,0,2022
PIE,  ,F   ,Costruzioni                                                 ,70,81,863,3,1017,2022
PIE,  ,F 41,Costruzione di edifici                                      ,53,51,154,2,260,2022
PIE,  ,F 42,Ingegneria civile                                           ,0,1,6,1,8,2022
PIE,  ,F 43,Lavori di costruzione specializzati                         ,17,29,703,0,749,2022
PIE,  ,G   ,Commercio all'ingrosso e al dettaglio; riparazione di aut...,94,293,666,0,1053,2022
PIE,  ,G 45,Commercio all'ingrosso e al dettaglio e riparazione di au...,15,19,35,0,69,2022
PIE,  ,G 46,Commercio all'ingrosso (escluso quello di autoveicoli e d...,45,94,177,0,316,2022
PIE,  ,G 47,Commercio al dettaglio (escluso quello di autoveicoli e d...,34,180,454,0,668,2022
PIE,  ,H   ,Trasporto e magazzinaggio                                   ,16,17,32,2,67,2022
PIE,  ,H 49,Trasporto terrestre e mediante condotte                     ,11,15,24,1,51,2022
PIE,  ,H 50,Trasporto marittimo e per vie d'acqua                       ,0,0,0,0,0,2022
PIE,  ,H 51,Trasporto aereo                                             ,0,0,0,0,0,2022
