Anno,Trimestre,Settore,Divisione,Regione,Provincia,Forma giuridica,Tipo ricerca,Registrate,Attive,Iscrizioni,Cessazioni non d ufficio,Saldo
2024,0,C Attività manifatturiere,C 22 Fabbricazione di articoli in gomma e materie plastiche,SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,15,12,0,1,-1
2024,0,H Trasporto e magazzinaggio,H 52 Magazzinaggio e attività di supporto ai trasporti,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,31,25,0,0,0
2024,0,C Attività manifatturiere,C 18 Stampa e riproduzione di supporti registrati,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,1,1,0,0,0
2024,0,C Attività manifatturiere,C 25 Fabbricazione di prodotti in metallo (esclusi macchinari ...,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,265,260,10,10,0
2024,0,F Costruzioni,F 43 Lavori di costruzione specializzati,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,15,13,0,2,-2
2024,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...",E 37 Gestione delle reti fognarie,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,1,1,0,0,0
2024,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...","E 38 Attività di raccolta, trattamento e smaltimento dei rifiu...",SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,4,4,0,0,0
2024,0,C Attività manifatturiere,C 25 Fabbricazione di prodotti in metallo (esclusi macchinari ...,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,261,199,3,7,-4
2024,0,F Costruzioni,F 43 Lavori di costruzione specializzati,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,608,604,33,36,-3
2024,0,C Attività manifatturiere,C 10 Industrie alimentari,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,66,54,0,2,-2
2024,0,C Attività manifatturiere,C 26 Fabbricazione di computer e prodotti di elettronica e ott...,SARDEGNA,CAGLIARI,SOCIETA' DI PERSONE,Totale imprese,15,12,0,1,-1
2024,0,"M Attività professionali, scientifiche e tecniche",M 72 Ricerca scientifica e sviluppo,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,71,61,0,3,-3
2024,0,J Servizi di informazione e comunicazione,J 63 Attività dei servizi d'informazione e altri servizi infor...,SARDEGNA,CAGLIARI,IMPRESE INDIVIDUALI,Totale imprese,313,311,14,38,-24
2024,0,G Commercio all'ingrosso e al dettaglio; riparazione di aut...,G 47 Commercio al dettaglio (escluso quello di autoveicoli e d...,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,475,367,4,9,-5
2024,0,"M Attività professionali, scientifiche e tecniche","M 74 Altre attività professionali, scientifiche e tecniche",SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,27,25,1,2,-1
