Anno,Trimestre,Settore,Divisione,Regione,Provincia,Forma giuridica,Tipo ricerca,Registrate,Attive,Iscrizioni,Cessazioni non d ufficio,Saldo
2020,0,C Attività manifatturiere,C 22 Fabbricazione di articoli in gomma e materie plastiche,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,17,10,0,0,0
2020,0,"A Agricoltura, silvicoltura pesca",A 02 Silvicoltura ed utilizzo di aree forestali,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,9,5,0,0,0
2020,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...",E 39 Attività di risanamento e altri servizi di gestione dei r...,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,8,4,0,0,0
2020,0,"A Agricoltura, silvicoltura pesca",A 02 Silvicoltura ed utilizzo di aree forestali,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,4,3,0,0,0
2020,0,C Attività manifatturiere,"C 29 Fabbricazione di autoveicoli, rimorchi e semirimorchi",SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,1,1,0,0,0
2020,0,I Attività dei servizi di alloggio e di ristorazione,I 56 Attività dei servizi di ristorazione,SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,1458,1079,19,13,6
2020,0,I Attività dei servizi di alloggio e di ristorazione,I 56 Attività dei servizi di ristorazione,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,1992,1908,82,147,-65
2020,0,C Attività manifatturiere,C 25 Fabbricazione di prodotti in metallo (esclusi macchinari ...,SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,68,59,0,0,0
2020,0,C Attività manifatturiere,C 14 Confezione di articoli di abbigliamento; confezione di ar...,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,21,21,2,2,0
2020,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 77 Attività di noleggio e leasing operativo,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,9,8,0,0,0
2020,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 77 Attività di noleggio e leasing operativo,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,10,8,0,1,-1
2020,0,C Attività manifatturiere,"C 29 Fabbricazione di autoveicoli, rimorchi e semirimorchi",SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,8,4,0,1,-1
2020,0,Q Sanità e assistenza sociale,Q 88 Assistenza sociale non residenziale,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,96,86,0,1,-1
2020,0,J Servizi di informazione e comunicazione,J 58 Attività editoriali,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,15,15,0,1,-1
2020,0,F Costruzioni,F 41 Costruzione di edifici,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,557,445,10,3,7
2020,0,J Servizi di informazione e comunicazione,"J 59 Attività di produzione cinematografica, di video e di pro...",SARDEGNA,NUORO,ALTRE FORME,Totale imprese,1,1,0,0,0
2020,0,C Attività manifatturiere,C 24 Metallurgia,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,1,1,0,0,0
2020,0,H Trasporto e magazzinaggio,H 52 Magazzinaggio e attività di supporto ai trasporti,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,3,2,0,0,0
2020,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...","E 38 Attività di raccolta, trattamento e smaltimento dei rifiu...",SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,2,2,0,0,0
2020,0,"M Attività professionali, scientifiche e tecniche",M 75 Servizi veterinari,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,2,2,0,0,0
2020,0,X Imprese non classificate,X Imprese non classificate,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,620,6,326,43,283
2020,0,C Attività manifatturiere,C 13 Industrie tessili,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,18,13,0,0,0
2020,0,G Commercio all'ingrosso e al dettaglio; riparazione di aut...,G 46 Commercio all'ingrosso (escluso quello di autoveicoli e d...,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,100,83,0,2,-2
2020,0,L Attività immobiliari,L 68 Attivita' immobiliari,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,59,55,0,3,-3
2020,0,F Costruzioni,F 42 Ingegneria civile,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,37,26,0,1,-1
2020,0,J Servizi di informazione e comunicazione,J 61 Telecomunicazioni,SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,2,2,0,0,0
2020,0,Q Sanità e assistenza sociale,Q 88 Assistenza sociale non residenziale,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,12,12,5,4,1
2020,0,H Trasporto e magazzinaggio,H 52 Magazzinaggio e attività di supporto ai trasporti,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,73,48,0,1,-1
2020,0,I Attività dei servizi di alloggio e di ristorazione,I 56 Attività dei servizi di ristorazione,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,110,91,0,1,-1
2020,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...","N 79 Attività dei servizi delle agenzie di viaggio, dei tour o...",SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,17,17,3,1,2
2020,0,C Attività manifatturiere,C 31 Fabbricazione di mobili,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,3,3,0,0,0
2020,0,C Attività manifatturiere,C 32 Altre industrie manifatturiere,SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,36,32,0,1,-1
