Anno,Trimestre,Settore,Divisione,Regione,Provincia,Forma giuridica,Tipo ricerca,Registrate,Attive,Iscrizioni,Cessazioni non d ufficio,Saldo
2021,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 77 Attività di noleggio e leasing operativo,SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,31,29,1,0,1
2021,0,"A Agricoltura, silvicoltura pesca",A 02 Silvicoltura ed utilizzo di aree forestali,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,15,14,0,0,0
2021,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 90 Attività creative, artistiche e di intrattenimento",SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,23,22,6,1,5
2021,0,J Servizi di informazione e comunicazione,J 58 Attività editoriali,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,5,5,0,1,-1
2021,0,H Trasporto e magazzinaggio,H 52 Magazzinaggio e attività di supporto ai trasporti,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,155,131,0,8,-8
2021,0,C Attività manifatturiere,C 18 Stampa e riproduzione di supporti registrati,SARDEGNA,CAGLIARI,SOCIETA' DI PERSONE,Totale imprese,43,29,0,3,-3
2021,0,K Attività finanziarie e assicurative,K 66 Attività ausiliarie dei servizi finanziari e delle attivi...,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,2,1,0,1,-1
2021,0,F Costruzioni,F 41 Costruzione di edifici,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,203,99,6,2,4
2021,0,C Attività manifatturiere,C 22 Fabbricazione di articoli in gomma e materie plastiche,SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,10,5,0,0,0
2021,0,C Attività manifatturiere,C 25 Fabbricazione di prodotti in metallo (esclusi macchinari ...,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,12,7,0,0,0
2021,0,C Attività manifatturiere,C 20 Fabbricazione di prodotti chimici,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,1,1,0,0,0
2021,0,C Attività manifatturiere,C 18 Stampa e riproduzione di supporti registrati,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,5,3,0,1,-1
2021,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 91 Attività di biblioteche, archivi, musei ed altre attività...",SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,4,3,0,1,-1
2021,0,"M Attività professionali, scientifiche e tecniche","M 74 Altre attività professionali, scientifiche e tecniche",SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,24,21,2,0,2
2021,0,"M Attività professionali, scientifiche e tecniche",M 71 Attività degli studi di architettura e d'ingegneria; coll...,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,212,185,8,3,5
2021,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 91 Attività di biblioteche, archivi, musei ed altre attività...",SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,17,13,0,0,0
2021,0,C Attività manifatturiere,C 25 Fabbricazione di prodotti in metallo (esclusi macchinari ...,SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,81,56,1,2,-1
2021,0,S Altre attività di servizi,S 95 Riparazione di computer e di beni per uso personale e per...,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,2,1,0,0,0
2021,0,J Servizi di informazione e comunicazione,J 58 Attività editoriali,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,5,5,0,1,-1
2021,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...","N 79 Attività dei servizi delle agenzie di viaggio, dei tour o...",SARDEGNA,NUORO,ALTRE FORME,Totale imprese,20,18,2,0,2
2021,0,Q Sanità e assistenza sociale,Q 86 Assistenza sanitaria,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,13,12,0,0,0
2021,0,L Attività immobiliari,L 68 Attivita' immobiliari,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,39,32,0,2,-2
2021,0,"M Attività professionali, scientifiche e tecniche",M 72 Ricerca scientifica e sviluppo,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,1,1,0,0,0
2021,0,"D Fornitura di energia elettrica, gas, vapore e aria condiz...","D 35 Fornitura di energia elettrica, gas, vapore e aria condiz...",SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,5,5,0,0,0
2021,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 90 Attività creative, artistiche e di intrattenimento",SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,26,23,0,0,0
2021,0,"A Agricoltura, silvicoltura pesca","A 01 Coltivazioni agricole e produzione di prodotti animali, c...",SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,1538,1522,188,16,172
2021,0,H Trasporto e magazzinaggio,H 49 Trasporto terrestre e mediante condotte,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,311,273,0,3,-3
2021,0,P Istruzione,P 85 Istruzione,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,11,11,0,0,0
2021,0,H Trasporto e magazzinaggio,H 52 Magazzinaggio e attività di supporto ai trasporti,SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,190,153,4,3,1
2021,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 80 Servizi di vigilanza e investigazione,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,4,4,0,0,0
2021,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 92 Attività riguardanti le lotterie, le scommesse, le case d...",SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,27,22,1,1,0
2021,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 77 Attività di noleggio e leasing operativo,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,44,39,1,0,1
2021,0,B Estrazione di minerali da cave e miniere,B 08 Altre attività di estrazione di minerali da cave e miniere,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,8,6,0,0,0
2021,0,"M Attività professionali, scientifiche e tecniche","M 74 Altre attività professionali, scientifiche e tecniche",SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,16,12,0,0,0
2021,0,C Attività manifatturiere,C 26 Fabbricazione di computer e prodotti di elettronica e ott...,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,2,1,0,0,0
2021,0,F Costruzioni,F 41 Costruzione di edifici,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,55,30,1,0,1
2021,0,C Attività manifatturiere,C 10 Industrie alimentari,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,284,274,5,11,-6
2021,0,F Costruzioni,F 41 Costruzione di edifici,SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,207,147,0,6,-6
2021,0,"M Attività professionali, scientifiche e tecniche",M 69 Attività legali e contabilità,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,16,16,1,0,1
2021,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 80 Servizi di vigilanza e investigazione,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,2,2,0,0,0
2021,0,"A Agricoltura, silvicoltura pesca",A 02 Silvicoltura ed utilizzo di aree forestali,SARDEGNA,CAGLIARI,IMPRESE INDIVIDUALI,Totale imprese,44,44,0,0,0
2021,0,G Commercio all'ingrosso e al dettaglio; riparazione di aut...,G 46 Commercio all'ingrosso (escluso quello di autoveicoli e d...,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,1397,1124,2,43,-41
2021,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 77 Attività di noleggio e leasing operativo,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,160,142,6,5,1
2021,0,F Costruzioni,F 41 Costruzione di edifici,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,84,59,0,4,-4
2021,0,S Altre attività di servizi,S 95 Riparazione di computer e di beni per uso personale e per...,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,3,3,0,1,-1
2021,0,"M Attività professionali, scientifiche e tecniche",M 73 Pubblicità e ricerche di mercato,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,4,2,0,0,0
2021,0,C Attività manifatturiere,C 27 Fabbricazione di apparecchiature elettriche ed apparecchi...,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,1,1,0,0,0
2021,0,B Estrazione di minerali da cave e miniere,B 09 Attività dei servizi di supporto all'estrazione,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,1,1,0,0,0
2021,0,X Imprese non classificate,X Imprese non classificate,SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,512,3,91,9,82
2021,0,K Attività finanziarie e assicurative,"K 65 Assicurazioni, riassicurazioni e fondi pensione (escluse ...",SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,2,2,0,0,0
2021,0,Q Sanità e assistenza sociale,Q 88 Assistenza sociale non residenziale,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,173,149,0,9,-9
2021,0,G Commercio all'ingrosso e al dettaglio; riparazione di aut...,G 46 Commercio all'ingrosso (escluso quello di autoveicoli e d...,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,480,468,17,24,-7
2021,0,C Attività manifatturiere,C 11 Industria delle bevande,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,2,2,0,0,0
2021,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 80 Servizi di vigilanza e investigazione,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,2,2,0,0,0
2021,0,H Trasporto e magazzinaggio,H 49 Trasporto terrestre e mediante condotte,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,308,299,2,10,-8
2021,0,K Attività finanziarie e assicurative,K 64 Attività di servizi finanziari (escluse le assicurazioni ...,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,1,1,0,0,0
